name,prompt,negative_prompt
"荒廃した教室","ruined classroom,cracked walls",""
"水没した教室","flooded classroom,desks underwater",""
"荒廃した体育館","ruined gymnasium,broken floor",""
"放置された図書室","abandoned library,dusty books",""
"崩壊した図書室","collapsed library,fallen shelves",""
"暗い地下室","dark basement,concrete walls",""
"水没した地下","flooded underground,submerged tunnel",""
"崩壊した地下施設","collapsed underground facility",""
"崩れた街並み","collapsed streets,fallen buildings",""
"瓦礫に埋もれた街","city buried in rubble",""
"水没した都市","sunken city,flooded buildings",""
"浸水した街","flooded town,waterlogged streets",""
"半壊した都市","partially destroyed city",""
"炎上後の街","burned city,charred remains",""
"灰に覆われた街","ash-covered city,desolation",""
"霧に包まれた街","city in thick fog",""
"暗黒都市","dark city,ominous atmosphere",""
"放棄された都市","abandoned city,empty streets",""
"崩壊した村","destroyed village,broken houses",""
"焼け落ちた村","burned village,charred wood",""
"水没した村","flooded village,submerged homes",""
"荒廃した集落","ruined settlement,collapsed huts",""
"荒れ果てた郊外","desolate suburb,abandoned houses",""
"崩れた高速道路","collapsed highway,broken asphalt",""
"瓦礫の橋","bridge covered in rubble",""
"沈んだ港","sunken harbor,submerged docks",""
"水没した地下鉄","flooded subway,tunnel underwater",""
"荒廃した工業地帯","ruined industrial area",""
"崩壊した工場","collapsed factory,twisted steel",""
"汚染地域","contaminated zone,hazard signs",""
"放射能汚染地","radioactive wasteland",""
"終末世界","apocalyptic world,destruction",""
"ポストアポカリプス","post-apocalyptic landscape",""
"廃墟化した世界","world in ruins,desolation",""
"女の子の部屋","girl bedroom,bed,desk",""
"和室","tatami room,shoji",""
"リビング","living room,sofa,table",""
"キッチン","kitchen interior,counters",""
"浴室","bathroom,tiles,steam",""
"教室","school classroom,desks",""
"体育館","gymnasium,polished floor",""
"図書室","library interior,bookshelves",""
"神殿内部","temple interior,holy light",""
"祭殿","ritual hall,stone floor",""
"城の広間","castle hall,stone walls",""
"酒場","fantasy tavern,wooden tables",""
"冒険者ギルド","adventurers guild,notice board",""
"武器屋","weapon shop,swords,armor",""
"防具屋","armor shop,metal armor",""
"魔法屋","magic shop,glowing items",""
"鍛冶屋","blacksmith forge,anvil,fire",""
"馬小屋","stable,wooden fence",""
"市場","marketplace,stalls,crowd",""
"露店","street stalls,lanterns",""
"車","car,parked vehicle",""
"郵便ポスト","mailbox,street object",""
"街灯","street lamp,night light",""
"車","car",""
"古い車","old car,rusty",""
"スポーツカー","sports car",""
"バイク","motorcycle",""
"自転車","bicycle",""
"馬車","horse carriage",""
"荷馬車","wagon,fantasy",""
"戦車","tank,military",""
"飛行船","airship,steampunk",""
"飛空艇","flying ship,fantasy",""
"郵便ポスト","mailbox",""
"電話ボックス","telephone booth",""
"街灯","street lamp",""
"信号機","traffic light",""
"標識","road sign",""
"ベンチ","park bench",""
"噴水","fountain",""
"像","statue",""
"石碑","stone monument",""
"墓石","tombstone",""
"鳥居","torii gate",""
"祠","small shrine",""
"教会の十字架","church cross",""
"鐘楼","bell tower",""
"時計塔","clock tower",""
"城門","castle gate",""
"城壁","castle wall",""
"瓦礫","rubble,debris",""
"崩れた柱","collapsed pillar",""
"折れた橋","broken bridge",""
"倒壊した建物","collapsed building",""
"木箱","wooden crate",""
"樽","barrel",""
"宝箱","treasure chest",""
"金貨","gold coins",""
"剣","sword",""
"魔剣","magic sword,fantasy",""
"槍","spear",""
"弓","bow weapon",""
"盾","shield",""
"鎧","armor",""
"ヘルメット","helmet",""
"魔法書","magic book,grimoire",""
"巻物","scroll",""
"水晶玉","crystal ball",""
"魔法陣","magic circle",""
"浮遊する石","floating stones",""
"発光オーブ","glowing orb",""
"ランタン","lantern",""
"松明","torch",""
"ろうそく","candle",""
"机","desk",""
"椅子","chair",""
"本棚","bookshelf",""
"ベッド","bed",""
"カーテン","curtain",""
"鏡","mirror",""
"割れた鏡","broken mirror",""
"檻","cage",""
"鎖","chains",""
"鉄格子","iron bars",""
"水たまり","puddle",""
"血痕","blood stains",""
"足跡","footprints",""
"魔力の結晶","magic crystal",""
"エネルギーコア","energy core",""
"浮遊する歯車","floating gears,steampunk",""
"蒸気装置","steam machinery",""
"木箱","wooden crates",""
"樽","barrel,wooden",""
"石像","stone statue",""
"焚き火","campfire,glowing embers",""
"オーク","orc,green skin,monster",""
"ゴブリン","goblin,small monster",""
"トロール","troll,large monster",""
"オーガ","ogre,giant monster",""
"ドラゴン","dragon,flying,lizard",""
"ファイアドラゴン","fire dragon,flames",""
"アイスドラゴン","ice dragon,frozen scales",""
"サンダードラゴン","lightning dragon,electric aura",""
"ワイバーン","wyvern,flying monster",""
"スライム","slime monster,gelatinous",""
"デーモン","demon,evil creature",""
"サキュバス","succubus,demon girl",""
"アンデッド","undead monster",""
"ゾンビ","zombie,undead",""
"スケルトン","skeleton warrior",""
"ヴァンパイア","vampire,night creature",""
"リッチ","lich,undead mage",""
"ゴーレム","golem,stone body",""
"エレメンタル","elemental spirit",""
"フェアリー","fairy,small wings",""
"エルフ","elf,fantasy race",""
"ダークエルフ","dark elf,fantasy",""
"ドワーフ","dwarf,short fantasy race",""
"ケンタウロス","centaur,half horse",""
"ミノタウロス","minotaur,bull monster",""
"ハーピー","harpy,winged monster",""
"ラミア","lamia,serpent body",""
"メデューサ","medusa,stone gaze",""
"クラーケン","kraken,giant tentacles",""
"フェンリル","fenrir,giant wolf",""
"ユニコーン","unicorn,white horse",""
"ペガサス","pegasus,winged horse",""
"カエルモンスター","frog monster,amphibian",""
"イヌモンスター","dog monster,beast",""
"ネコモンスター","cat monster,beast",""
"クモモンスター","spider monster,giant",""
"サメモンスター","shark monster,sea beast",""
